"Database Search","Title","Working Paper Series","Book (Chapter)","(Book) Series","Conference","Journal","Author(s)","Year","Empirical","Theoretical","Free product, cash back","Vouchers, gift card, coupon, reward points, bonus points, credits","Give-to-Get","Lottery","Discount, rebate","Pay per view/click","Money","Badge/Elite/level/rank/status","Donation/charitable incentives","Helping or compassionate incentive","Social incentives/norms","Service Strategy","Incentive not clear"
"Scopus Keyword Search","Money matters? Effect of reward types on customers' review behaviors","","","","","Journal of Research in Interactive Marketing","Zhang et al.","2024","x","","","x","","","","","","","","","","",""
"IEEE Keyword Search","A Quantitative Study of Impact of Incentive to Quality of Software Reviews","","","","International Conference on Dependable Systems and Their Applications (DSA)","","Tang et al.","2022","x","","","","","","","","x","","","","","",""
"AISeL Keyword Search","RIGHT OR WRONG? CONSUMERS’ AWARENESS, ETHICAL ACCEPTANCE, AND LEGAL JUSTIFIABILITY OF INCENTIVE-DRIVEN REVIEWS","","","","Pacific Asia Conference on Information Systems (PACIS)","","Fröhnel et al.","2024","x","","x","","","","x","","x","","","","","",""
"AISeL Keyword Search","Implications of Rewards and Punishments for Content Generations by Key Opinion Leaders","","","","WHICEB","","Lin et al.","2020","x","","","","","","","","","","","","","","x"
"AISeL Keyword Search","You can't buy my rating! On the pivotal effect of an unconditional gift on rating behavior","","","","International Conference on Wirtschaftsinformatik (WI)","","Gutt et al. ","2017","x","","","","","","x","","","","","","","",""
"AISeL Keyword Search","Do Incentivized Reviews Poison the Well? Evidence from a Natural Experiment on Amazon.com","","","","Pacific Asia Conference on Information Systems (PACIS)","","Park et al.","2022","x","","x","","","","","","","","","","","",""
"AISeL Keyword Search","Motivating User-Generated Content: The Unintended Consequences of Incentive Thresholds","","","","","MIS Quarterly","He et al.","2023","x","","","","","","","","x","","","","","",""
"AISeL Keyword Search","Impact of Gamification on Perceptions of Word-of-Mouth Contributors and Actions of Word-of-Mouth Consumers","","","","","MIS Quarterly","Wang et al.","2020","x","","","","","","","","","x","","","","",""
"AISeL Backward Search","Does Money Talk? The Impact of Monetary Incentives on User-Generated Content Contributions","","","","","Information Systems Research","Liu and Feng","2021","","x","","","","","","x","","","","","","",""
"Scopus Keyword Search","Investigating the effect of status changes in review platforms","","","","","International Journal of Research in Marketing","Tamaddoni et al.","2023","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","Incentivised dishonesty: Moral frameworks underlying fake online reviews","","","","","International Journal of Consumer Studies","Victor et al.","2024","x","","","x","","","","","","","","","","",""
"Scopus Keyword Search","Understanding Underground Incentivized Review Services","","","","Conference on Human Factors in Computing Systems","","Oak and Shafiq","2024","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","Understanding the adoption of incentivized word-of-mouth in the online environment","","","","","Journal of Theoretical and Applied Electronic Commerce Research","Anastasiei et al.","2021","x","","","","","","","","x","","","","","",""
"Scopus Keyword Search","Role of Platform Incentives in Shaping Local Guides’ Online Review Behaviour","","","","Australasian Conference on Information Systems (ACIS)","","Jayathilake et al.","2023","x","","","","","","","","","x","","","","",""
"Scopus Keyword Search","What are social incentives worth? A randomized field experiment in user content generation","","","","International Conference on Information Systems (ICIS)","","Burtch et al.","2015","x","","","","","","","","x","","","","x","",""
"Scopus Keyword Search","Online consumer review intentions: A comparative study of chinese and american","","","","International Conference on Instrumentation and Measurement, Computer, Communication and Control (IMCCC)","","Li et al.","2018","x","","","x","","","","","","","","","","","x"
"Scopus Keyword Search","Posting reviews on OTAs: Motives, rewards and effort","","","","","Tourism Management","Liu et al.","2019","x","","","x","","","","","","x","","","","",""
"Scopus Keyword Search","How Does a Review Officer and Her Incentivized Contribution Affect the Review System?","","","","International Conference on Information Systems (ICIS)","","Ma et al.","2022","x","","","x","","","","","","x","","","","",""
"Scopus Keyword Search","Electronic word-of-mouth contribution continuance in online opinion platforms: The role of multiple commitments","","","","Pacific Asia Conference on Information Systems (PACIS)","","Jin et al.","2010","x","","","","","","","","","","","","","","x"
"Scopus Keyword Search","Money Makes the Reviewer Go Round - Ambivalent Effects of Online Review Elicitation in B2B Markets","","","","Americas' Conference on Information Systems (AMCIS)","","Neumann and Gutt","2019","x","","","x","","","","","","","x","","","",""
"Scopus Keyword Search","Trojan horses in amazon's castle: Understanding the incentivized online reviews","","","","IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","","Jamshidi et al.","2018","x","","x","","","","x","","","","","","","",""
"Scopus Keyword Search","How Do Monetary Incentives Affect Online Product Reviews and Sales?","","","","Americas' Conference on Information Systems (AMCIS)","","Pavlou et al.","2015","x","","","","","","","","x","","","","","",""
